PublicKey,RootTaxonomy,ChildTaxonomy,questionText,questionType,difficulty,workflowStatus
GMATH_001,LANDELS,GENERAL_MATHS,What is 1/2 + 1/4? (Question 1),SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_002,LANDELS,GENERAL_MATHS,Which fraction is equivalent to 2/3? (Question 2),SINGLE_SELECT,HARD,PRACTICE
GMATH_003,LANDELS,GENERAL_MATHS,What is 3.5 + 2.4? (Question 3),SINGLE_SELECT,EASY,PRACTICE
GMATH_004,LANDELS,GENERAL_MATHS,What is 4.2 × 10? (Question 4),SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_005,LANDELS,GENERAL_MATHS,How many degrees are in a right angle? (Question 5),SINGLE_SELECT,HARD,PRACTICE
GMATH_006,LANDELS,GENERAL_MATHS,How many sides does a hexagon have? (Question 6),SINGLE_SELECT,EASY,PRACTICE
GMATH_007,LANDELS,GENERAL_MATHS,Area of a rectangle 5×4? (Question 7),SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_008,LANDELS,GENERAL_MATHS,Volume of a box 2×3×4? (Question 8),SINGLE_SELECT,HARD,PRACTICE
GMATH_009,LANDELS,GENERAL_MATHS,Simplify ratio 4:8 (Question 9),SINGLE_SELECT,EASY,PRACTICE
GMATH_010,LANDELS,GENERAL_MATHS,"If red:blue is 2:3, total 15 marbles. Red? (Question 10)",SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_011,LANDELS,GENERAL_MATHS,What is 1/2 + 1/4? (Question 11),SINGLE_SELECT,HARD,PRACTICE
GMATH_012,LANDELS,GENERAL_MATHS,Which fraction is equivalent to 2/3? (Question 12),SINGLE_SELECT,EASY,PRACTICE
GMATH_013,LANDELS,GENERAL_MATHS,What is 3.5 + 2.4? (Question 13),SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_014,LANDELS,GENERAL_MATHS,What is 4.2 × 10? (Question 14),SINGLE_SELECT,HARD,PRACTICE
GMATH_015,LANDELS,GENERAL_MATHS,How many degrees are in a right angle? (Question 15),SINGLE_SELECT,EASY,PRACTICE
GMATH_016,LANDELS,GENERAL_MATHS,How many sides does a hexagon have? (Question 16),SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_017,LANDELS,GENERAL_MATHS,Area of a rectangle 5×4? (Question 17),SINGLE_SELECT,HARD,PRACTICE
GMATH_018,LANDELS,GENERAL_MATHS,Volume of a box 2×3×4? (Question 18),SINGLE_SELECT,EASY,PRACTICE
GMATH_019,LANDELS,GENERAL_MATHS,Simplify ratio 4:8 (Question 19),SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_020,LANDELS,GENERAL_MATHS,"If red:blue is 2:3, total 15 marbles. Red? (Question 20)",SINGLE_SELECT,HARD,PRACTICE
GMATH_021,LANDELS,GENERAL_MATHS,What is 1/2 + 1/4? (Question 21),SINGLE_SELECT,EASY,PRACTICE
GMATH_022,LANDELS,GENERAL_MATHS,Which fraction is equivalent to 2/3? (Question 22),SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_023,LANDELS,GENERAL_MATHS,What is 3.5 + 2.4? (Question 23),SINGLE_SELECT,HARD,PRACTICE
GMATH_024,LANDELS,GENERAL_MATHS,What is 4.2 × 10? (Question 24),SINGLE_SELECT,EASY,PRACTICE
GMATH_025,LANDELS,GENERAL_MATHS,How many degrees are in a right angle? (Question 25),SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_026,LANDELS,GENERAL_MATHS,How many sides does a hexagon have? (Question 26),SINGLE_SELECT,HARD,PRACTICE
GMATH_027,LANDELS,GENERAL_MATHS,Area of a rectangle 5×4? (Question 27),SINGLE_SELECT,EASY,PRACTICE
GMATH_028,LANDELS,GENERAL_MATHS,Volume of a box 2×3×4? (Question 28),SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_029,LANDELS,GENERAL_MATHS,Simplify ratio 4:8 (Question 29),SINGLE_SELECT,HARD,PRACTICE
