PublicKey,RootTaxonomy,ChildTaxonomy,questionText,questionType,difficulty,workflowStatus
GMATH_HARD_001,CBSE,GENERAL_MATHS,Calculate 3/4 + 5/6. Write the answer in simplest form.,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_002,CBSE,GENERAL_MATHS,Calculate 7/8 + 2/3. Write the answer in simplest form.,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_003,CBSE,GENERAL_MATHS,Calculate 5/6 - 7/9. Write the answer in simplest form.,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_004,CBSE,GENERAL_MATHS,Calculate 4/5 + 3/7. Write the answer in simplest form.,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_005,CBSE,GENERAL_MATHS,Calculate 11/12 - 5/8. Write the answer in simplest form.,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_006,CBSE,GENERAL_MATHS,Calculate 2/3 * 9/10. Write the answer in simplest form.,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_007,CBSE,GENERAL_MATHS,Calculate 5/6 * 3/4. Write the answer in simplest form.,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_008,CBSE,GENERAL_MATHS,Calculate 7/9 / 14/15. Write the answer in simplest form.,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_009,CBSE,GENERAL_MATHS,Calculate 8/11 / 4/7. Write the answer in simplest form.,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_010,CBSE,GENERAL_MATHS,Calculate 13/15 - 2/5. Write the answer in simplest form.,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_011,CBSE,GENERAL_MATHS,A box has 48 pencils. 1/3 of them are sharpened. How many pencils are sharpened?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_012,CBSE,GENERAL_MATHS,A box has 60 pencils. 3/7 of them are sharpened. How many pencils are sharpened?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_013,CBSE,GENERAL_MATHS,A box has 72 pencils. 1/2 of them are sharpened. How many pencils are sharpened?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_014,CBSE,GENERAL_MATHS,A box has 84 pencils. 5/9 of them are sharpened. How many pencils are sharpened?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_015,CBSE,GENERAL_MATHS,A box has 96 pencils. 1/3 of them are sharpened. How many pencils are sharpened?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_016,CBSE,GENERAL_MATHS,A box has 108 pencils. 3/7 of them are sharpened. How many pencils are sharpened?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_017,CBSE,GENERAL_MATHS,A box has 120 pencils. 1/2 of them are sharpened. How many pencils are sharpened?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_018,CBSE,GENERAL_MATHS,A box has 132 pencils. 5/9 of them are sharpened. How many pencils are sharpened?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_019,CBSE,GENERAL_MATHS,A box has 144 pencils. 1/3 of them are sharpened. How many pencils are sharpened?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_020,CBSE,GENERAL_MATHS,A box has 156 pencils. 3/7 of them are sharpened. How many pencils are sharpened?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_021,CBSE,GENERAL_MATHS,Multiply 1.25 by 1.50. Give the exact decimal value.,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_022,CBSE,GENERAL_MATHS,Multiply 1.40 by 1.75. Give the exact decimal value.,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_023,CBSE,GENERAL_MATHS,Multiply 1.55 by 2.00. Give the exact decimal value.,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_024,CBSE,GENERAL_MATHS,Multiply 1.70 by 2.25. Give the exact decimal value.,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_025,CBSE,GENERAL_MATHS,Multiply 1.85 by 2.50. Give the exact decimal value.,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_026,CBSE,GENERAL_MATHS,Multiply 2.00 by 1.50. Give the exact decimal value.,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_027,CBSE,GENERAL_MATHS,Multiply 2.15 by 1.75. Give the exact decimal value.,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_028,CBSE,GENERAL_MATHS,Multiply 2.30 by 2.00. Give the exact decimal value.,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_029,CBSE,GENERAL_MATHS,Multiply 2.45 by 2.25. Give the exact decimal value.,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_030,CBSE,GENERAL_MATHS,Multiply 2.60 by 2.50. Give the exact decimal value.,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_031,CBSE,GENERAL_MATHS,A 12% discount is applied to an item priced at ₹240. What is the discount amount?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_032,CBSE,GENERAL_MATHS,A 15% discount is applied to an item priced at ₹275. What is the discount amount?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_033,CBSE,GENERAL_MATHS,A 18% discount is applied to an item priced at ₹310. What is the discount amount?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_034,CBSE,GENERAL_MATHS,A 20% discount is applied to an item priced at ₹345. What is the discount amount?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_035,CBSE,GENERAL_MATHS,A 25% discount is applied to an item priced at ₹380. What is the discount amount?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_036,CBSE,GENERAL_MATHS,A 12% discount is applied to an item priced at ₹415. What is the discount amount?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_037,CBSE,GENERAL_MATHS,A 15% discount is applied to an item priced at ₹450. What is the discount amount?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_038,CBSE,GENERAL_MATHS,A 18% discount is applied to an item priced at ₹485. What is the discount amount?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_039,CBSE,GENERAL_MATHS,A 20% discount is applied to an item priced at ₹520. What is the discount amount?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_040,CBSE,GENERAL_MATHS,A 25% discount is applied to an item priced at ₹555. What is the discount amount?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_041,CBSE,GENERAL_MATHS,"The ratio of boys to girls in a club is 3:5. If there are 64 students in total, how many girls are there?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_042,CBSE,GENERAL_MATHS,"The ratio of boys to girls in a club is 4:6. If there are 90 students in total, how many girls are there?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_043,CBSE,GENERAL_MATHS,"The ratio of boys to girls in a club is 5:7. If there are 120 students in total, how many girls are there?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_044,CBSE,GENERAL_MATHS,"The ratio of boys to girls in a club is 6:8. If there are 154 students in total, how many girls are there?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_045,CBSE,GENERAL_MATHS,"The ratio of boys to girls in a club is 3:9. If there are 144 students in total, how many girls are there?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_046,CBSE,GENERAL_MATHS,"The ratio of boys to girls in a club is 4:5. If there are 117 students in total, how many girls are there?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_047,CBSE,GENERAL_MATHS,"The ratio of boys to girls in a club is 5:6. If there are 154 students in total, how many girls are there?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_048,CBSE,GENERAL_MATHS,"The ratio of boys to girls in a club is 6:7. If there are 195 students in total, how many girls are there?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_049,CBSE,GENERAL_MATHS,"The ratio of boys to girls in a club is 3:8. If there are 176 students in total, how many girls are there?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_050,CBSE,GENERAL_MATHS,"The ratio of boys to girls in a club is 4:9. If there are 221 students in total, how many girls are there?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_051,CBSE,GENERAL_MATHS,A rectangular garden is 18 m by 9 m. A 2 m wide path is built all around it outside the garden. What is the area of the path?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_052,CBSE,GENERAL_MATHS,A rectangular garden is 19 m by 10 m. A 2 m wide path is built all around it outside the garden. What is the area of the path?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_053,CBSE,GENERAL_MATHS,A rectangular garden is 20 m by 11 m. A 2 m wide path is built all around it outside the garden. What is the area of the path?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_054,CBSE,GENERAL_MATHS,A rectangular garden is 21 m by 12 m. A 2 m wide path is built all around it outside the garden. What is the area of the path?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_055,CBSE,GENERAL_MATHS,A rectangular garden is 22 m by 13 m. A 2 m wide path is built all around it outside the garden. What is the area of the path?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_056,CBSE,GENERAL_MATHS,A rectangular garden is 23 m by 14 m. A 2 m wide path is built all around it outside the garden. What is the area of the path?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_057,CBSE,GENERAL_MATHS,A rectangular garden is 24 m by 9 m. A 2 m wide path is built all around it outside the garden. What is the area of the path?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_058,CBSE,GENERAL_MATHS,A rectangular garden is 25 m by 10 m. A 2 m wide path is built all around it outside the garden. What is the area of the path?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_059,CBSE,GENERAL_MATHS,A rectangular garden is 26 m by 11 m. A 2 m wide path is built all around it outside the garden. What is the area of the path?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_060,CBSE,GENERAL_MATHS,A rectangular garden is 27 m by 12 m. A 2 m wide path is built all around it outside the garden. What is the area of the path?,SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_061,CBSE,GENERAL_MATHS,"A cuboid is built using 1 cm³ cubes. Its length is 6 cm, width is 5 cm, and height is 4 cm. How many cubes are needed?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_062,CBSE,GENERAL_MATHS,"A cuboid is built using 1 cm³ cubes. Its length is 7 cm, width is 6 cm, and height is 5 cm. How many cubes are needed?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_063,CBSE,GENERAL_MATHS,"A cuboid is built using 1 cm³ cubes. Its length is 8 cm, width is 7 cm, and height is 6 cm. How many cubes are needed?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_064,CBSE,GENERAL_MATHS,"A cuboid is built using 1 cm³ cubes. Its length is 9 cm, width is 8 cm, and height is 4 cm. How many cubes are needed?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_065,CBSE,GENERAL_MATHS,"A cuboid is built using 1 cm³ cubes. Its length is 10 cm, width is 5 cm, and height is 5 cm. How many cubes are needed?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_066,CBSE,GENERAL_MATHS,"A cuboid is built using 1 cm³ cubes. Its length is 6 cm, width is 6 cm, and height is 6 cm. How many cubes are needed?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_067,CBSE,GENERAL_MATHS,"A cuboid is built using 1 cm³ cubes. Its length is 7 cm, width is 7 cm, and height is 4 cm. How many cubes are needed?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_068,CBSE,GENERAL_MATHS,"A cuboid is built using 1 cm³ cubes. Its length is 8 cm, width is 8 cm, and height is 5 cm. How many cubes are needed?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_069,CBSE,GENERAL_MATHS,"A cuboid is built using 1 cm³ cubes. Its length is 9 cm, width is 5 cm, and height is 6 cm. How many cubes are needed?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_070,CBSE,GENERAL_MATHS,"A cuboid is built using 1 cm³ cubes. Its length is 10 cm, width is 6 cm, and height is 4 cm. How many cubes are needed?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_071,CBSE,GENERAL_MATHS,"In a triangle, two angles are 35° and 65°. What is the third angle?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_072,CBSE,GENERAL_MATHS,"In a triangle, two angles are 39° and 62°. What is the third angle?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_073,CBSE,GENERAL_MATHS,"In a triangle, two angles are 43° and 59°. What is the third angle?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_074,CBSE,GENERAL_MATHS,"In a triangle, two angles are 47° and 56°. What is the third angle?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_075,CBSE,GENERAL_MATHS,"In a triangle, two angles are 51° and 53°. What is the third angle?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_076,CBSE,GENERAL_MATHS,"In a triangle, two angles are 55° and 65°. What is the third angle?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_077,CBSE,GENERAL_MATHS,"In a triangle, two angles are 59° and 62°. What is the third angle?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_078,CBSE,GENERAL_MATHS,"In a triangle, two angles are 63° and 59°. What is the third angle?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_079,CBSE,GENERAL_MATHS,"In a triangle, two angles are 67° and 56°. What is the third angle?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_080,CBSE,GENERAL_MATHS,"In a triangle, two angles are 71° and 53°. What is the third angle?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_081,CBSE,GENERAL_MATHS,"Find the next number in the pattern: 2, 5, 10, 17, 26, ...",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_082,CBSE,GENERAL_MATHS,"Find the next number in the pattern: 3, 7, 13, 21, 31, ...",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_083,CBSE,GENERAL_MATHS,"Find the next number in the pattern: 4, 9, 16, 25, 36, ...",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_084,CBSE,GENERAL_MATHS,"Find the next number in the pattern: 5, 11, 19, 29, 41, ...",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_085,CBSE,GENERAL_MATHS,"Find the next number in the pattern: 6, 9, 14, 21, 30, ...",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_086,CBSE,GENERAL_MATHS,"Find the next number in the pattern: 7, 11, 17, 25, 35, ...",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_087,CBSE,GENERAL_MATHS,"Find the next number in the pattern: 8, 13, 20, 29, 40, ...",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_088,CBSE,GENERAL_MATHS,"Find the next number in the pattern: 9, 15, 23, 33, 45, ...",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_089,CBSE,GENERAL_MATHS,"Find the next number in the pattern: 10, 13, 18, 25, 34, ...",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_090,CBSE,GENERAL_MATHS,"Find the next number in the pattern: 11, 15, 21, 29, 39, ...",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_091,CBSE,GENERAL_MATHS,"6 packets each contain 18 stickers. After 25 stickers are used, how many stickers are left?",SINGLE_SELECT,HARD,PRACTICE
GMATH_HARD_092,CBSE,GENERAL_MATHS,"7 packets each contain 21 stickers. After 27 stickers are used, how many stickers are left?",SINGLE_SELECT,HARD,PRACTICE
