PublicKey,RootTaxonomy,ChildTaxonomy,questionText,questionType,difficulty,workflowStatus
STEAM_001,CBSE,STEAM,Which instrument is used to measure temperature?,SINGLE_SELECT,EASY,PRACTICE
STEAM_002,CBSE,STEAM,What is the SI unit of force?,SINGLE_SELECT,EASY,PRACTICE
STEAM_003,CBSE,STEAM,What is the SI unit of electric current?,SINGLE_SELECT,EASY,PRACTICE
STEAM_004,CBSE,STEAM,Which force pulls objects toward Earth?,SINGLE_SELECT,EASY,PRACTICE
STEAM_005,CBSE,STEAM,Which type of energy is stored in a stretched rubber band?,SINGLE_SELECT,EASY,PRACTICE
STEAM_006,CBSE,STEAM,What kind of mirror is commonly used as a rear-view mirror in vehicles?,SINGLE_SELECT,EASY,PRACTICE
STEAM_007,CBSE,STEAM,Which part of an electric circuit opens and closes the path?,SINGLE_SELECT,EASY,PRACTICE
STEAM_008,CBSE,STEAM,What happens to speed if the same distance is covered in less time?,SINGLE_SELECT,EASY,PRACTICE
STEAM_009,CBSE,STEAM,Sound needs which of the following to travel?,SINGLE_SELECT,EASY,PRACTICE
STEAM_010,CBSE,STEAM,Which material is usually a good conductor of electricity?,SINGLE_SELECT,EASY,PRACTICE
STEAM_011,CBSE,STEAM,Which gas is most abundant in Earth’s atmosphere?,SINGLE_SELECT,EASY,PRACTICE
STEAM_012,CBSE,STEAM,What is the chemical formula of water?,SINGLE_SELECT,EASY,PRACTICE
STEAM_013,CBSE,STEAM,Which substance turns blue litmus red?,SINGLE_SELECT,EASY,PRACTICE
STEAM_014,CBSE,STEAM,Which process changes water vapour into liquid water?,SINGLE_SELECT,EASY,PRACTICE
STEAM_015,CBSE,STEAM,Which of these is a metal?,SINGLE_SELECT,EASY,PRACTICE
STEAM_016,CBSE,STEAM,What is common salt chemically called?,SINGLE_SELECT,EASY,PRACTICE
STEAM_017,CBSE,STEAM,Which gas is released when acids react with most metals?,SINGLE_SELECT,EASY,PRACTICE
STEAM_018,CBSE,STEAM,Which particle has a negative charge?,SINGLE_SELECT,EASY,PRACTICE
STEAM_019,CBSE,STEAM,What is the pH of a neutral solution at 25°C?,SINGLE_SELECT,EASY,PRACTICE
STEAM_020,CBSE,STEAM,Which method is used to separate sand from water?,SINGLE_SELECT,EASY,PRACTICE
STEAM_021,CBSE,STEAM,Which part of a plant absorbs water from soil?,SINGLE_SELECT,EASY,PRACTICE
STEAM_022,CBSE,STEAM,Which organ pumps blood in the human body?,SINGLE_SELECT,EASY,PRACTICE
STEAM_023,CBSE,STEAM,Which green pigment helps plants make food?,SINGLE_SELECT,EASY,PRACTICE
STEAM_024,CBSE,STEAM,Which gas do plants mainly take in during photosynthesis?,SINGLE_SELECT,EASY,PRACTICE
STEAM_025,CBSE,STEAM,Which part of the cell controls most cell activities?,SINGLE_SELECT,EASY,PRACTICE
STEAM_026,CBSE,STEAM,Which organ helps humans breathe?,SINGLE_SELECT,EASY,PRACTICE
STEAM_027,CBSE,STEAM,Which blood cells help fight infection?,SINGLE_SELECT,EASY,PRACTICE
STEAM_028,CBSE,STEAM,Which nutrient is mainly needed for growth and repair?,SINGLE_SELECT,EASY,PRACTICE
STEAM_029,CBSE,STEAM,Which process removes waste from the body?,SINGLE_SELECT,EASY,PRACTICE
STEAM_030,CBSE,STEAM,Which organisms make curd from milk?,SINGLE_SELECT,EASY,PRACTICE
STEAM_031,CBSE,STEAM,A student travels 20 m in 4 s at uniform speed. What is the speed?,SINGLE_SELECT,EASY,PRACTICE
STEAM_032,CBSE,STEAM,A student travels 45 m in 9 s at uniform speed. What is the speed?,SINGLE_SELECT,EASY,PRACTICE
STEAM_033,CBSE,STEAM,A student travels 60 m in 12 s at uniform speed. What is the speed?,SINGLE_SELECT,EASY,PRACTICE
STEAM_034,CBSE,STEAM,A student travels 80 m in 10 s at uniform speed. What is the speed?,SINGLE_SELECT,EASY,PRACTICE
STEAM_035,CBSE,STEAM,A student travels 100 m in 20 s at uniform speed. What is the speed?,SINGLE_SELECT,EASY,PRACTICE
STEAM_036,CBSE,STEAM,A student travels 150 m in 30 s at uniform speed. What is the speed?,SINGLE_SELECT,EASY,PRACTICE
STEAM_037,CBSE,STEAM,A student travels 180 m in 15 s at uniform speed. What is the speed?,SINGLE_SELECT,EASY,PRACTICE
STEAM_038,CBSE,STEAM,A student travels 240 m in 60 s at uniform speed. What is the speed?,SINGLE_SELECT,EASY,PRACTICE
STEAM_039,CBSE,STEAM,A student travels 300 m in 50 s at uniform speed. What is the speed?,SINGLE_SELECT,EASY,PRACTICE
STEAM_040,CBSE,STEAM,A student travels 360 m in 90 s at uniform speed. What is the speed?,SINGLE_SELECT,EASY,PRACTICE
STEAM_041,CBSE,STEAM,A student travels 420 m in 70 s at uniform speed. What is the speed?,SINGLE_SELECT,EASY,PRACTICE
STEAM_042,CBSE,STEAM,A student travels 500 m in 100 s at uniform speed. What is the speed?,SINGLE_SELECT,EASY,PRACTICE
STEAM_043,CBSE,STEAM,A student travels 720 m in 120 s at uniform speed. What is the speed?,SINGLE_SELECT,EASY,PRACTICE
STEAM_044,CBSE,STEAM,A student travels 900 m in 180 s at uniform speed. What is the speed?,SINGLE_SELECT,EASY,PRACTICE
STEAM_045,CBSE,STEAM,A student travels 1000 m in 200 s at uniform speed. What is the speed?,SINGLE_SELECT,EASY,PRACTICE
STEAM_046,CBSE,STEAM,A force acts on a mass of 2 kg and produces an acceleration of 3 m/s². What is the force?,SINGLE_SELECT,MEDIUM,PRACTICE
STEAM_047,CBSE,STEAM,A force acts on a mass of 4 kg and produces an acceleration of 5 m/s². What is the force?,SINGLE_SELECT,MEDIUM,PRACTICE
STEAM_048,CBSE,STEAM,A force acts on a mass of 5 kg and produces an acceleration of 2 m/s². What is the force?,SINGLE_SELECT,MEDIUM,PRACTICE
STEAM_049,CBSE,STEAM,A force acts on a mass of 6 kg and produces an acceleration of 4 m/s². What is the force?,SINGLE_SELECT,MEDIUM,PRACTICE
STEAM_050,CBSE,STEAM,A force acts on a mass of 8 kg and produces an acceleration of 3 m/s². What is the force?,SINGLE_SELECT,MEDIUM,PRACTICE
STEAM_051,CBSE,STEAM,A force acts on a mass of 10 kg and produces an acceleration of 1.5 m/s². What is the force?,SINGLE_SELECT,MEDIUM,PRACTICE
STEAM_052,CBSE,STEAM,A force acts on a mass of 12 kg and produces an acceleration of 2 m/s². What is the force?,SINGLE_SELECT,MEDIUM,PRACTICE
STEAM_053,CBSE,STEAM,A force acts on a mass of 15 kg and produces an acceleration of 3 m/s². What is the force?,SINGLE_SELECT,MEDIUM,PRACTICE
STEAM_054,CBSE,STEAM,A force acts on a mass of 20 kg and produces an acceleration of 2.5 m/s². What is the force?,SINGLE_SELECT,MEDIUM,PRACTICE
STEAM_055,CBSE,STEAM,A force acts on a mass of 25 kg and produces an acceleration of 2 m/s². What is the force?,SINGLE_SELECT,MEDIUM,PRACTICE
