PublicKey,RootTaxonomy,ChildTaxonomy,questionText,questionType,difficulty,workflowStatus
GMATH_001,CBSE,GENERAL_MATHS,Calculate 1/2 + 1/3. Write the answer in simplest form.,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_002,CBSE,GENERAL_MATHS,Calculate 2/5 + 1/10. Write the answer in simplest form.,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_003,CBSE,GENERAL_MATHS,Calculate 3/4 + 1/8. Write the answer in simplest form.,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_004,CBSE,GENERAL_MATHS,Calculate 5/6 + 1/3. Write the answer in simplest form.,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_005,CBSE,GENERAL_MATHS,Calculate 7/10 + 1/5. Write the answer in simplest form.,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_006,CBSE,GENERAL_MATHS,Calculate 2/3 + 1/6. Write the answer in simplest form.,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_007,CBSE,GENERAL_MATHS,Calculate 3/5 + 2/15. Write the answer in simplest form.,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_008,CBSE,GENERAL_MATHS,Calculate 5/8 + 1/4. Write the answer in simplest form.,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_009,CBSE,GENERAL_MATHS,Calculate 4/9 + 2/3. Write the answer in simplest form.,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_010,CBSE,GENERAL_MATHS,Calculate 7/12 + 1/6. Write the answer in simplest form.,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_011,CBSE,GENERAL_MATHS,Calculate 3/10 - 2/5. Write the answer in simplest form.,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_012,CBSE,GENERAL_MATHS,Calculate 5/9 - 1/6. Write the answer in simplest form.,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_013,CBSE,GENERAL_MATHS,Calculate 7/15 - 2/5. Write the answer in simplest form.,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_014,CBSE,GENERAL_MATHS,Calculate 11/12 - 1/4. Write the answer in simplest form.,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_015,CBSE,GENERAL_MATHS,Calculate 5/7 - 1/14. Write the answer in simplest form.,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_016,CBSE,GENERAL_MATHS,What is 3.4 + 2.65?,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_017,CBSE,GENERAL_MATHS,What is 12.8 + 4.75?,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_018,CBSE,GENERAL_MATHS,What is 0.56 + 0.78?,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_019,CBSE,GENERAL_MATHS,What is 9.03 + 1.97?,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_020,CBSE,GENERAL_MATHS,What is 15.6 + 2.45?,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_021,CBSE,GENERAL_MATHS,Subtract 3.27 from 8.5.,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_022,CBSE,GENERAL_MATHS,Subtract 6.45 from 10.0.,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_023,CBSE,GENERAL_MATHS,Subtract 2.8 from 7.25.,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_024,CBSE,GENERAL_MATHS,Subtract 9.75 from 20.5.,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_025,CBSE,GENERAL_MATHS,Subtract 1.69 from 5.04.,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_026,CBSE,GENERAL_MATHS,What is 2.4 × 3?,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_027,CBSE,GENERAL_MATHS,What is 1.25 × 8?,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_028,CBSE,GENERAL_MATHS,What is 0.6 × 7?,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_029,CBSE,GENERAL_MATHS,What is 4.5 × 2?,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_030,CBSE,GENERAL_MATHS,What is 3.2 × 5?,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_031,CBSE,GENERAL_MATHS,A rectangle is 8 cm long and 5 cm wide. What is its area?,SINGLE_SELECT,EASY,PRACTICE
GMATH_032,CBSE,GENERAL_MATHS,A rectangle is 12 cm long and 7 cm wide. What is its area?,SINGLE_SELECT,EASY,PRACTICE
GMATH_033,CBSE,GENERAL_MATHS,A rectangle is 15 cm long and 4 cm wide. What is its area?,SINGLE_SELECT,EASY,PRACTICE
GMATH_034,CBSE,GENERAL_MATHS,A rectangle is 9 cm long and 6 cm wide. What is its area?,SINGLE_SELECT,EASY,PRACTICE
GMATH_035,CBSE,GENERAL_MATHS,A rectangle is 14 cm long and 3 cm wide. What is its area?,SINGLE_SELECT,EASY,PRACTICE
GMATH_036,CBSE,GENERAL_MATHS,A rectangle is 10 m long and 6 m wide. What is its perimeter?,SINGLE_SELECT,EASY,PRACTICE
GMATH_037,CBSE,GENERAL_MATHS,A rectangle is 13 m long and 5 m wide. What is its perimeter?,SINGLE_SELECT,EASY,PRACTICE
GMATH_038,CBSE,GENERAL_MATHS,A rectangle is 18 m long and 4 m wide. What is its perimeter?,SINGLE_SELECT,EASY,PRACTICE
GMATH_039,CBSE,GENERAL_MATHS,A rectangle is 7 m long and 7 m wide. What is its perimeter?,SINGLE_SELECT,EASY,PRACTICE
GMATH_040,CBSE,GENERAL_MATHS,A rectangle is 16 m long and 9 m wide. What is its perimeter?,SINGLE_SELECT,EASY,PRACTICE
GMATH_041,CBSE,GENERAL_MATHS,A triangle has base 10 cm and height 6 cm. What is its area?,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_042,CBSE,GENERAL_MATHS,A triangle has base 12 cm and height 5 cm. What is its area?,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_043,CBSE,GENERAL_MATHS,A triangle has base 9 cm and height 8 cm. What is its area?,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_044,CBSE,GENERAL_MATHS,A triangle has base 14 cm and height 7 cm. What is its area?,SINGLE_SELECT,MEDIUM,PRACTICE
GMATH_045,CBSE,GENERAL_MATHS,A triangle has base 16 cm and height 3 cm. What is its area?,SINGLE_SELECT,MEDIUM,PRACTICE
