questionId,RootTaxonomy,ChildTaxonomy,questionText
HM001,CBSE,GENERAL_MATHS_HARD,What is 4/12 + 8/12 in simplest form?
HM002,CBSE,GENERAL_MATHS_HARD,What is 2.5 × 0.4?
HM003,CBSE,GENERAL_MATHS_HARD,What is 25% of 24?
HM004,CBSE,GENERAL_MATHS_HARD,"If the ratio is 3:5 and the total is 32, what is the larger part?"
HM005,CBSE,GENERAL_MATHS_HARD,What is the area of a square with side length 11 cm?
HM006,CBSE,GENERAL_MATHS_HARD,What is the supplement of 120°?
HM007,CBSE,GENERAL_MATHS_HARD,What is the volume of a cuboid 6×8×7?
HM008,CBSE,GENERAL_MATHS_HARD,What is the area of a rectangle 11 cm by 11 cm?
HM009,CBSE,GENERAL_MATHS_HARD,What is the perimeter of a rectangle 15 cm by 8 cm?
HM010,CBSE,GENERAL_MATHS_HARD,"What is the next number in the pattern: 10, 14, 18, 22, ...?"
HM011,CBSE,GENERAL_MATHS_HARD,What is 14/12 + 18/12 in simplest form?
HM012,CBSE,GENERAL_MATHS_HARD,What is 15.0 × 0.4?
HM013,CBSE,GENERAL_MATHS_HARD,What is 25% of 104?
HM014,CBSE,GENERAL_MATHS_HARD,"If the ratio is 3:5 and the total is 112, what is the larger part?"
HM015,CBSE,GENERAL_MATHS_HARD,What is the area of a square with side length 6 cm?
HM016,CBSE,GENERAL_MATHS_HARD,What is the supplement of 30°?
HM017,CBSE,GENERAL_MATHS_HARD,What is the volume of a cuboid 6×6×8?
HM018,CBSE,GENERAL_MATHS_HARD,What is the area of a rectangle 14 cm by 11 cm?
HM019,CBSE,GENERAL_MATHS_HARD,What is the perimeter of a rectangle 13 cm by 10 cm?
HM020,CBSE,GENERAL_MATHS_HARD,"What is the next number in the pattern: 20, 24, 28, 32, ...?"
HM021,CBSE,GENERAL_MATHS_HARD,What is 24/12 + 28/12 in simplest form?
HM022,CBSE,GENERAL_MATHS_HARD,What is 27.5 × 0.4?
HM023,CBSE,GENERAL_MATHS_HARD,What is 25% of 184?
HM024,CBSE,GENERAL_MATHS_HARD,"If the ratio is 3:5 and the total is 192, what is the larger part?"
HM025,CBSE,GENERAL_MATHS_HARD,What is the area of a square with side length 16 cm?
HM026,CBSE,GENERAL_MATHS_HARD,What is the supplement of 60°?
HM027,CBSE,GENERAL_MATHS_HARD,What is the volume of a cuboid 6×8×6?
HM028,CBSE,GENERAL_MATHS_HARD,What is the area of a rectangle 10 cm by 11 cm?
HM029,CBSE,GENERAL_MATHS_HARD,What is the perimeter of a rectangle 17 cm by 8 cm?
HM030,CBSE,GENERAL_MATHS_HARD,"What is the next number in the pattern: 30, 34, 38, 42, ...?"
HM031,CBSE,GENERAL_MATHS_HARD,What is 34/12 + 38/12 in simplest form?
HM032,CBSE,GENERAL_MATHS_HARD,What is 40.0 × 0.4?
HM033,CBSE,GENERAL_MATHS_HARD,What is 25% of 264?
HM034,CBSE,GENERAL_MATHS_HARD,"If the ratio is 3:5 and the total is 272, what is the larger part?"
HM035,CBSE,GENERAL_MATHS_HARD,What is the area of a square with side length 11 cm?
HM036,CBSE,GENERAL_MATHS_HARD,What is the supplement of 90°?
HM037,CBSE,GENERAL_MATHS_HARD,What is the volume of a cuboid 6×6×7?
HM038,CBSE,GENERAL_MATHS_HARD,What is the area of a rectangle 13 cm by 11 cm?
HM039,CBSE,GENERAL_MATHS_HARD,What is the perimeter of a rectangle 15 cm by 10 cm?
HM040,CBSE,GENERAL_MATHS_HARD,"What is the next number in the pattern: 40, 44, 48, 52, ...?"
HM041,CBSE,GENERAL_MATHS_HARD,What is 44/12 + 48/12 in simplest form?
HM042,CBSE,GENERAL_MATHS_HARD,What is 52.5 × 0.4?
HM043,CBSE,GENERAL_MATHS_HARD,What is 25% of 344?
HM044,CBSE,GENERAL_MATHS_HARD,"If the ratio is 3:5 and the total is 352, what is the larger part?"
HM045,CBSE,GENERAL_MATHS_HARD,What is the area of a square with side length 6 cm?
HM046,CBSE,GENERAL_MATHS_HARD,What is the supplement of 120°?
HM047,CBSE,GENERAL_MATHS_HARD,What is the volume of a cuboid 6×8×8?
HM048,CBSE,GENERAL_MATHS_HARD,What is the area of a rectangle 16 cm by 11 cm?
HM049,CBSE,GENERAL_MATHS_HARD,What is the perimeter of a rectangle 13 cm by 8 cm?
HM050,CBSE,GENERAL_MATHS_HARD,"What is the next number in the pattern: 50, 54, 58, 62, ...?"
HM051,CBSE,GENERAL_MATHS_HARD,What is 54/12 + 58/12 in simplest form?
HM052,CBSE,GENERAL_MATHS_HARD,What is 65.0 × 0.4?
HM053,CBSE,GENERAL_MATHS_HARD,What is 25% of 424?
HM054,CBSE,GENERAL_MATHS_HARD,"If the ratio is 3:5 and the total is 432, what is the larger part?"
HM055,CBSE,GENERAL_MATHS_HARD,What is the area of a square with side length 16 cm?
HM056,CBSE,GENERAL_MATHS_HARD,What is the supplement of 30°?
HM057,CBSE,GENERAL_MATHS_HARD,What is the volume of a cuboid 6×6×6?
HM058,CBSE,GENERAL_MATHS_HARD,What is the area of a rectangle 12 cm by 11 cm?
HM059,CBSE,GENERAL_MATHS_HARD,What is the perimeter of a rectangle 17 cm by 10 cm?
HM060,CBSE,GENERAL_MATHS_HARD,"What is the next number in the pattern: 60, 64, 68, 72, ...?"
HM061,CBSE,GENERAL_MATHS_HARD,What is 64/12 + 68/12 in simplest form?
HM062,CBSE,GENERAL_MATHS_HARD,What is 77.5 × 0.4?
HM063,CBSE,GENERAL_MATHS_HARD,What is 25% of 504?
HM064,CBSE,GENERAL_MATHS_HARD,"If the ratio is 3:5 and the total is 512, what is the larger part?"
HM065,CBSE,GENERAL_MATHS_HARD,What is the area of a square with side length 11 cm?
HM066,CBSE,GENERAL_MATHS_HARD,What is the supplement of 60°?
